Wed Nov 30 03:40:08 2022    output.dat

         3241988 function calls (3236178 primitive calls) in 47.179 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      219    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
      209    0.002    0.000    0.107    0.001 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:99(supply)
      276    0.002    0.000    0.003    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:276(_optimize_charset)
      198    0.002    0.000    0.071    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:118(move)
     1784    0.002    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\cursors.py:100(__eq__)
     8497    0.002    0.000    0.002    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:32(<lambda>)
     1038    0.002    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:211(<listcomp>)
     3330    0.002    0.000    0.011    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\random.py:366(randint)
     1784    0.002    0.000    0.004    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\cursors.py:103(__ne__)
       28    0.002    0.000    0.002    0.000 {built-in method nt._getfinalpathname}
     4518    0.002    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:164(__getitem__)
     8509    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     1956    0.002    0.000    0.007    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:90(isHostileNeighbour)
    10758    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:193(rect)
     3568    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:50(update)
     1270    0.001    0.000    0.012    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2067(dist_factory)
     3799    0.001    0.000    0.009    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:72(<genexpr>)
       21    0.001    0.000    0.001    0.000 {built-in method pygame.transform.smoothscale}
     5113    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      302    0.001    0.000    0.058    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:69(best_attack)
      838    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
2552/2548    0.001    0.000    0.003    0.000 {method 'join' of 'str' objects}
     7515    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1892    0.001    0.000    0.001    0.000 {built-in method builtins.any}
     7136    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:320(get_mouse_position)
  770/175    0.001    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:174(getwidth)
       42    0.001    0.000    0.068    0.002 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Piece.py:23(loadImageGorup)
     2202    0.001    0.000    0.001    0.000 {built-in method builtins.max}
